PDL;tarif;adresse;ref contrat;lieu dit ;duplicata;codepostal;ville;georeference
19389146092745;tb;ep lotissement du trive ;1dfw3616;ep;;38350;la mure;1
19308104109250;tb;ep jonche lotissement de la jonche;1c51f3f;ep;;38350;la mure;1
30001934130012;tj;aire gens du voyages chemin du pre neuf za les marais;;aire gens du voyage;;38350;la mure;0
19312590412262;tb;ex bibliotheque municipale 10 rue st jaques ;;ex bibliotheque;;38350;la mure;1
19318089616747;tb;camera video protection 1 passage de la conferie (pl bethoux);;camera pl bethoux;;38350;la mure;1
19356005752437;tb;station de reprise les castors 516b 01;12xtf3752;station de reprise castors;;38350;la mure;0
19359768415253;tb;station d epuration zi de la mouche ;12xtf3755;station d ep zi la mouche;;38350;la mure;0
19360492004279;tb;station relevage des marais zi de la mouche ;12xtf3756;station de relevage marais;;38350;la mure;0
19385528175328;tb;station de relevage inoseta mairie zi susville;132qv1631;station de relevage inoseta;;38350;la mure;0
19383646804741;tb;relais radio chemin du calvaire;1 19lh 592;relais radio;;38350;la mure;1
19389724963941;tb;local communal la roche;1 9w5 2652;;;38350;la mure;1
19333140281790;tb;local petanque mairie rue des capucins ;134d6812;petanque;;38350;la mure;1
19343125886949;tb;club 3eme age 7 rue murette ilot balme;171x995;club belle epoque;;38350;la mure;0
19357742384972;tb;local communal 24 place perouzat ;182874j;;;38350;la mure;1
19343849475989;tb;ecole rue des capucins ;1bxz1099;ecole capucins;;38350;la mure;1
19312879847814;tb;bureau technique ancien cafes 8 rue magdelaine ;;;en double;38350;la mure;1
19391461577531;tb;club de tir  av des plantation;;club de tir;en double;38350;la mure;1
19343415322591;tb;atelier st;1cq84284;atelier st;;38350;la mure;1
